pickup_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,fare_amount,tip_amount,tolls_amount
6/1/2016 12:00,2,1.309999943,-74.00973511,40.71266556,-73.99401855,40.72109604,13.5,0,0
6/1/2016 12:00,1,1.669999957,-73.98164368,40.77846146,-73.97460175,40.76216888,14.5,3,0
6/1/2016 12:00,1,0.850000024,-74.00364685,40.72632217,-73.99119568,40.72328568,8.5,1.860000014,0
6/1/2016 12:00,1,2.400000095,-74.01295471,40.70213318,-74.00219727,40.72474289,13.5,3.549999952,0
6/1/2016 12:00,1,2.5,-73.99169922,40.75534821,-73.9870224,40.73324585,16,0,0
6/1/2016 12:00,1,0.600000024,-73.99878693,40.73464966,-73.99372101,40.72911453,6.5,2.150000095,0
6/1/2016 12:00,1,1.519999981,-74.00512695,40.7184906,-73.98760986,40.7197113,14,0,0
6/1/2016 12:00,1,1.700000048,-73.99435425,40.74441147,-73.97398376,40.75315094,20,4.150000095,0
6/1/2016 12:00,1,2.329999924,-73.96795654,40.78733063,-73.97849274,40.76351547,13,0,0
6/1/2016 12:00,1,0,-73.97125244,40.75762939,-73.97750854,40.74975967,8,1,0
6/1/2016 12:00,1,2.900000095,-73.94789886,40.77505875,-73.98196411,40.7674675,16.5,4.300000191,0
6/1/2016 12:00,1,0.300000012,-74.00141144,40.7309761,-73.9970932,40.73252869,3.5,0,0
6/1/2016 12:00,1,1.200000048,-73.97071838,40.76183701,-73.97338104,40.74809265,10.5,0,0
6/1/2016 12:00,1,0.5,-73.97820282,40.76401901,-73.97476959,40.76957321,4.5,0,0
6/1/2016 12:00,1,0.970000029,-73.98235321,40.72769165,-73.97975922,40.71789169,5.5,0,0
6/1/2016 12:00,3,2.789999962,-73.9983139,40.76106644,-74.00317383,40.72766113,13.5,0,0
6/1/2016 12:00,1,3.680000067,-73.98551941,40.75776291,-73.95747375,40.78444672,19.5,5,0
6/1/2016 12:00,1,0.029999999,-73.9516449,40.76968384,-73.95137024,40.77004623,2.5,0,0
6/1/2016 12:00,1,1.450000048,-73.9658432,40.75851059,-73.98320007,40.74874878,13.5,2.859999895,0
6/1/2016 12:00,6,21.20000076,-73.98740387,40.78063583,-73.7763443,40.64536667,52,0,5.539999962
6/1/2016 12:00,1,4.5,-73.98223114,40.75987244,-74.00084686,40.71465683,24,4.949999809,0
6/1/2016 12:00,1,1.399999976,-73.99394989,40.75145721,-73.97343445,40.74365616,14.5,0,0
6/1/2016 12:00,1,0.649999976,-73.96147919,40.76876831,-73.96085358,40.77584839,5,1.159999967,0
6/1/2016 12:00,1,0.660000026,-74.00821686,40.73777008,-73.99967957,40.73392105,6,1.700000048,0
6/1/2016 12:00,1,3.299999952,-73.95378876,40.76721573,-73.98501587,40.73788834,16,3.349999905,0
6/1/2016 12:00,1,0.899999976,-73.9771347,40.764534,-73.96733093,40.77256012,6,0,0
6/1/2016 12:00,3,4.699999809,-73.96779633,40.76857758,-73.96084595,40.81791306,19.5,0,0
6/1/2016 12:00,1,0.600000024,-73.96400452,40.76356125,-73.9719696,40.75987244,8,0,0
6/1/2016 12:00,2,14.5,-73.95961761,40.79893875,-73.9621582,40.68632507,55,12.25,5.539999962
6/1/2016 12:00,3,1.49000001,-73.97800446,40.76467896,-73.99341583,40.75543213,13.5,2.859999895,0
6/1/2016 12:00,1,2.319999933,-73.99698639,40.72235107,-73.97802734,40.75164032,14,1,0
6/1/2016 12:00,3,18,-73.98503876,40.75888443,-73.77630615,40.64551544,52,11.64999962,5.539999962
6/1/2016 12:00,1,1,-73.97561646,40.74887466,-73.96690369,40.7613945,10.5,0,0
6/1/2016 12:00,1,1.100000024,-74.00291443,40.73364258,-74.00879669,40.72467804,6.5,1.450000048,0
6/1/2016 12:00,5,0.540000021,-73.97167206,40.75705338,-73.96966553,40.76340866,6,0,0
6/1/2016 12:00,1,4.449999809,-73.95780945,40.7653389,-73.96214294,40.81206894,21.5,5.579999924,0
6/1/2016 12:00,1,2.380000114,-73.99149323,40.75032043,-74.00707245,40.71838379,13,2.75999999,0
6/1/2016 12:00,1,1.5,-73.97821045,40.75244522,-73.97147369,40.76438141,14,0,0
6/1/2016 12:00,1,1.299999952,-73.96218109,40.77607727,-73.98113251,40.78441238,8.5,1.850000024,0
6/1/2016 12:00,1,1.5,-73.97207642,40.76033401,-73.95489502,40.77417755,10,0,0
6/1/2016 12:00,1,8.510000229,-73.95918274,40.77410889,-73.99500275,40.69115829,26,0,0
6/1/2016 12:00,2,0.230000004,-73.99432373,40.72404099,-73.99720764,40.72460938,3.5,0.860000014,0
6/1/2016 12:00,1,0.899999976,-73.97489166,40.76516724,-73.98108673,40.75478363,11.5,3.049999952,0
6/1/2016 12:00,1,1.5,-73.96956635,40.78520584,-73.98200226,40.76603699,9.5,0,0
6/1/2016 12:00,1,4.800000191,-74.01509857,40.71438599,-73.97761536,40.76361465,26.5,2.730000019,0
6/1/2016 12:00,1,0.400000006,-73.99650574,40.74444962,-73.98947144,40.74029541,6,1.350000024,0
6/1/2016 12:00,1,2.299999952,-73.95825958,40.81609726,-73.95240021,40.79258347,13,0,0
6/1/2016 12:00,2,1.570000052,-73.98925018,40.77442169,-73.98212433,40.75865555,12,2.559999943,0
6/1/2016 12:00,1,0.610000014,-73.98403931,40.74315643,-73.98943329,40.73608017,4.5,1.059999943,0
6/1/2016 12:00,4,0.200000003,-73.97135162,40.76441956,-73.97370911,40.76364136,3.5,0.860000014,0
6/1/2016 12:00,1,0.129999995,-73.99414825,40.72658157,-73.99356079,40.72639847,6.5,1.820000052,0
6/1/2016 12:00,1,0.800000012,-73.98397827,40.73389053,-73.99316406,40.7298317,7,1.549999952,0
6/1/2016 12:00,1,2.900000095,-73.97373962,40.76478195,-74.0038147,40.74197388,14.5,0,0
6/1/2016 12:00,2,0.5,-73.95385742,40.77513504,-73.95493317,40.76927567,5.5,0,0
6/1/2016 12:00,1,0.800000012,-73.98893738,40.74851227,-73.97748566,40.74872208,7.5,0,0
6/1/2016 12:00,1,11.30000019,-73.99012756,40.75649643,-73.95309448,40.6388588,40.5,4.440000057,5.539999962
6/1/2016 12:00,1,1.460000038,-73.98207855,40.74034882,-73.99539185,40.72740173,11.5,2.460000038,0
